Lipid ID	Lipid name	GO ID	GO term	Taxon ID	Taxon scientific name	Evidence tag ID
SLM:000000044	(25S)-Delta7-dafachronate	GO:0061067	negative regulation of dauer larval development	6239	Caenorhabditis elegans	3059
SLM:000000326	ergosterol	GO:0012510	trans-Golgi network transport vesicle membrane	559292	Saccharomyces cerevisiae S288c	5710
SLM:000000336	1,2-diacyl-sn-glycero-3-phospho-L-serine	GO:0009898	internal side of plasma membrane	10090	Mus musculus	4309
SLM:000000413	Ceramide (d18:1(4E))	GO:0005794	Golgi apparatus	9606	Homo sapiens	12752
SLM:000000438	sphingosine 1-phosphate	GO:0061351	neural precursor cell proliferation	10116	Rattus norvegicus	6431
SLM:000000655	1-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine	GO:0002553	histamine secretion by mast cell	10116	Rattus norvegicus	6163
SLM:000001006	2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine	GO:0002553	histamine secretion by mast cell	10116	Rattus norvegicus	6161
SLM:000055318	Lysophosphatidylcholine (16:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7113 | 7191
SLM:000055318	Lysophosphatidylcholine (16:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	8168
SLM:000055318	Lysophosphatidylcholine (16:0)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7192
SLM:000055319	Lysophosphatidylcholine (16:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7548
SLM:000055322	Lysophosphatidylcholine (18:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7114 | 7193
SLM:000055322	Lysophosphatidylcholine (18:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7194 | 7492
SLM:000055322	Lysophosphatidylcholine (18:0)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7195
SLM:000055323	Lysophosphatidylcholine (18:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7196 | 7487
SLM:000055323	Lysophosphatidylcholine (18:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7197
SLM:000055323	Lysophosphatidylcholine (18:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7198 | 10777
SLM:000055324	Lysophosphatidylcholine (18:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7199 | 7516
SLM:000055324	Lysophosphatidylcholine (18:2)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7200
SLM:000055324	Lysophosphatidylcholine (18:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7201 | 10778
SLM:000055331	Lysophosphatidylcholine (20:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7205 | 7549
SLM:000055331	Lysophosphatidylcholine (20:3)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7206
SLM:000055331	Lysophosphatidylcholine (20:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7207
SLM:000055332	Lysophosphatidylcholine (20:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7202
SLM:000055332	Lysophosphatidylcholine (20:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7203
SLM:000055332	Lysophosphatidylcholine (20:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7204
SLM:000055341	Lysophosphatidylcholine (22:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7507 | 10389
SLM:000055341	Lysophosphatidylcholine (22:6)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	10390
SLM:000055341	Lysophosphatidylcholine (22:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10391
SLM:000055410	Lysophosphatidylethanolamine (16:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10875
SLM:000055414	Lysophosphatidylethanolamine (18:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10878
SLM:000055415	Lysophosphatidylethanolamine (18:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10877
SLM:000055416	Lysophosphatidylethanolamine (18:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10876
SLM:000055478	Lysophosphatidylethanolamine (O-18:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10889
SLM:000056194	Phosphatidate (O-34:0)	GO:0030496	midbody	9606	Homo sapiens	13911
SLM:000056455	Phosphatidylcholine (26:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7550
SLM:000056467	Phosphatidylcholine (28:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7551
SLM:000056479	Phosphatidylcholine (30:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7541
SLM:000056479	Phosphatidylcholine (30:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10729
SLM:000056480	Phosphatidylcholine (30:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7543
SLM:000056480	Phosphatidylcholine (30:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10728
SLM:000056481	Phosphatidylcholine (30:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7604
SLM:000056486	Phosphatidylcholine (31:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10731
SLM:000056493	Phosphatidylcholine (32:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7153
SLM:000056493	Phosphatidylcholine (32:0)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7146
SLM:000056493	Phosphatidylcholine (32:0)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7162 | 10735
SLM:000056494	Phosphatidylcholine (32:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7152 | 7552
SLM:000056494	Phosphatidylcholine (32:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7145
SLM:000056494	Phosphatidylcholine (32:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7161 | 10734
SLM:000056495	Phosphatidylcholine (32:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	10393
SLM:000056495	Phosphatidylcholine (32:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10733
SLM:000056500	Phosphatidylcholine (33:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7540
SLM:000056501	Phosphatidylcholine (33:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10739
SLM:000056502	Phosphatidylcholine (33:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10737
SLM:000056504	Phosphatidylcholine (33:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7489
SLM:000056507	Phosphatidylcholine (34:0)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7472
SLM:000056508	Phosphatidylcholine (34:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7151 | 7536
SLM:000056508	Phosphatidylcholine (34:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7150
SLM:000056508	Phosphatidylcholine (34:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7163 | 10742
SLM:000056509	Phosphatidylcholine (34:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7109 | 7149
SLM:000056509	Phosphatidylcholine (34:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7148
SLM:000056509	Phosphatidylcholine (34:2)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7147
SLM:000056510	Phosphatidylcholine (34:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7511
SLM:000056510	Phosphatidylcholine (34:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10741
SLM:000056511	Phosphatidylcholine (34:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7553
SLM:000056511	Phosphatidylcholine (34:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10740
SLM:000056512	Phosphatidylcholine (34:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7554
SLM:000056515	Phosphatidylcholine (35:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7537
SLM:000056515	Phosphatidylcholine (35:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10744
SLM:000056516	Phosphatidylcholine (35:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7538
SLM:000056516	Phosphatidylcholine (35:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10743
SLM:000056522	Phosphatidylcholine (36:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7173
SLM:000056522	Phosphatidylcholine (36:1)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7174
SLM:000056522	Phosphatidylcholine (36:1)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7175 | 10747
SLM:000056523	Phosphatidylcholine (36:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7110 | 7170
SLM:000056523	Phosphatidylcholine (36:2)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7171 | 7515
SLM:000056523	Phosphatidylcholine (36:2)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7172
SLM:000056524	Phosphatidylcholine (36:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7167 | 7555
SLM:000056524	Phosphatidylcholine (36:3)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7168
SLM:000056524	Phosphatidylcholine (36:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7169 | 10897
SLM:000056525	Phosphatidylcholine (36:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7164 | 8381
SLM:000056525	Phosphatidylcholine (36:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7165
SLM:000056525	Phosphatidylcholine (36:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7166 | 10896
SLM:000056526	Phosphatidylcholine (36:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7159 | 7504
SLM:000056526	Phosphatidylcholine (36:5)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7158
SLM:000056526	Phosphatidylcholine (36:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7160 | 10746
SLM:000056527	Phosphatidylcholine (36:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7545
SLM:000056527	Phosphatidylcholine (36:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10745
SLM:000056528	Phosphatidylcholine (36:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7556
SLM:000056532	Phosphatidylcholine (37:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10749
SLM:000056534	Phosphatidylcholine (37:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10748
SLM:000056538	Phosphatidylcholine (38:1)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7557
SLM:000056539	Phosphatidylcholine (38:2)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10755
SLM:000056540	Phosphatidylcholine (38:3)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7185 | 7499
SLM:000056540	Phosphatidylcholine (38:3)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7186
SLM:000056540	Phosphatidylcholine (38:3)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7187 | 10754
SLM:000056541	Phosphatidylcholine (38:4)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7182 | 7532
SLM:000056541	Phosphatidylcholine (38:4)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7183
SLM:000056541	Phosphatidylcholine (38:4)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7184 | 10753
SLM:000056542	Phosphatidylcholine (38:5)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7179
SLM:000056542	Phosphatidylcholine (38:5)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7180
SLM:000056542	Phosphatidylcholine (38:5)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7181 | 10752
SLM:000056543	Phosphatidylcholine (38:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7176 | 7494
SLM:000056543	Phosphatidylcholine (38:6)	GO:0034361	very-low-density lipoprotein particle	9606	Homo sapiens	7177
SLM:000056543	Phosphatidylcholine (38:6)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	7178 | 10751
SLM:000056544	Phosphatidylcholine (38:7)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7518
SLM:000056544	Phosphatidylcholine (38:7)	GO:0034362	low-density lipoprotein particle	9606	Homo sapiens	10750
SLM:000056546	Phosphatidylcholine (38:9)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7558
SLM:000056553	Phosphatidylcholine (39:6)	GO:0034364	high-density lipoprotein particle	9606	Homo sapiens	7527
